d4, i0 i1, p2 p2, g3
d879, i842, p825, g68
d880, i842, p825, g834
d881, i842, p825, g68
d882, i842, p825, g834
d883, i842, p825, 
d884, i842, p825, g68
d885, i842, p825, g757 g834
d886, i842, p825, 
d887, i842, p825, 
d888, i842, p825, g845 g846 g847 g834
d889, i842, p825, g757 g834
d890, i842, p825, g834
d891, i842, p825, g757 g834
d892, i842, p825, g834
d893, i842, p825, g3 g834
d896, , p894 p895, 
d900, i897, p898, g899
d902, i897, p898, g901
d903, i897, p898, 
d904, i897, p898, 
d905, i897, p898, 
d906, i897, p898, 
d907, i897, p898, 
d908, i897, p898, g899
d909, i897, p898, g318 g901
d910, i897, p898, 
d911, i897, p898, g298
d912, i897, p898, 
d914, , p898, g913 g451
d916, i915, p898, 
d917, i915, p898, 
d918, i915, p898, 
d919, i915, p898, 
d920, i915, p898, 
d922, i915, p898, g921
d924, i915, p898, g923 g192
d925, i915, p898, 
d926, i915, p898, g68
d927, i915, p898, 
d928, i915, p898, g845
d929, i915, p898, 
d930, i915, p898, g192
d931, i915, p898, g921
d932, i915, p898, g192 g235
d933, i915, p898, 
d934, i915, p898, g834
d935, i915, p898, 
d936, i915, p898, g52
d937, i915, p898, g834 g756
d938, i915, p898, 
d939, i915, p898, g445 g3
d940, i915, p898, g921
d944, i915, p898, g941 g192 g942 g943
d946, i915, p898, g707 g945 g923
d947, i915, p898, g941 g192 g942 g943
d948, i915, p898, g846
d949, i915, p898, 
d950, i915, p898, 
d951, i915, p898, 
d952, i0, p898, 
d953, i0, p898, 
d954, i897, p898, 
d955, i897, p898, 
d956, i897, p898, 
d957, i897, p898, g298
d958, i897, p898, 
d959, i897, p898, 
d960, i897, p898, 
d961, i897, p898, 
d962, i897, p898, 
d963, i897, p898, 
d964, i897, p898, 
d965, i897, p898, 
d966, i897, p898, 
d967, i897, p898, 
d968, i897, p898, 
d969, i897, p898, 
d970, i897, p898, 
d971, i897, p898, 
d972, i915, p898, 
d973, i915, p898, 
d974, i915, p898, 
d975, i915, p898, 
d976, i915, p898, 
d977, i915, p898, 
d978, i915, p898, g845
d979, i915, p898, g707
d980, i915, p898, g192
d981, i915, p898, g192
d982, i915, p898, g707 g923
d983, i915, p898, g923 g192
d984, i915, p898, g192 g235
d985, i915, p898, g707 g235
d986, i915, p898, g192 g942 g943
d987, i915, p898, g834
d988, i915, p898, 
d989, i915, p898, 
d990, i915, p898, 
d991, i915, p898, g707
d992, i915, p898, g192
d993, i915, p898, g923 g707
d993, i915, p898, g923 g192
d994, i915, p898, g923 g192
d995, i915, p898, g707 g235
d996, i915, p898, g192 g942 g943
d997, i915, p898, 
d998, i915, p898, 
d999, i915, p898, 
d1000, i915, p898, 
d1001, i915, p898, g923 g192 g945 g941
d1002, i915, p898, g707 g235
d1003, i915, p898, 
d1004, i915, p898, g707
d1005, i915, p898, g941 g192
d1006, i915, p898, g923 g192 g945 g941
d1007, i915, p898, g941 g235 g192
d1008, i915, p898, g845 g945
d1009, i915, p898, g757
d1010, i915, p898, 
d1011, i915, p898, g445 g3
d1012, i915, p898, g52 g445
d1013, i915, p898, 
d1014, i915, p898, g68
d1015, i915, p898, g45
d1016, i824, p825, 
d1017, i824, p825, 
d1020, i824 i1018, p17 p825, g1019 g45
d1021, i842, , 
d1022, i842, , 
d1023, i897, p26 p898, g839 g445 g45
d1027, i915 i842, p898, g1024 g834 g431 g52 g3 g1025 g1026 g199 g759 g36
d1028, i123, , 
d1030, i439, p1029, 
d1032, , , g1031
d1034, , , g1033
d1035, i619, , 
d1036, i842, p825, g68
d1037, i842, p825, 
d1038, i842, p825, g68
d1039, i182, p17, 
d1043, i1040, p31, g1041 g759 g1042
d1044, , p240, 
d1045, i623, p31, 
d1047, i1046, p279, 
d1049, i1048, p279, g45
d1052, i1050 i1051, p279, 
d1054, i1053, p279, 
d1061, i1055, p356 p279, g1056 g1057 g1058 g1059 g1060
d1063, i1062, p279, 
d1065, i1064, p279, 
d1066, i1055, p279, g22
d1069, i1067 i1068, p279, 
d1070, i1053, p279, 
d1072, i1071, p8, 
d1073, , p17, 
d1075, i1074, p104 p26, 
d1077, i0 i897, p26, g1076
d1078, i0 i897, p26, g1076
d1079, i0 i897, p26, g1076
d1080, i0 i897, p26, g1076
d1081, i0 i897, p26, g1076
d1082, i0 i897, p26, g1076
d1083, i0 i897, p26, g1076
d1084, i0 i897, p26, g1076
d1085, i897, p26, g1076
d1086, i0 i897, p26, g1076
d1090, i1087 i1088, p1089, 
d1092, i1087 i1088, p1091, 
d1094, i1087 i1088, p1093, 
d1097, i1095, p1096, g187
d1099, i1098, p2, g45
d1100, i186 i65, , 
d1105, i1101, p26 p244, g1024 g10 g573 g20 g1102 g1103 g158 g9 g90 g1104 g54
d1107, i406, , g143 g544 g1106 g45
d1110, i288, p87 p2, g659 g1108 g402 g210 g1109
d1111, , p29, 
d1112, i182, p82 p29 p691, 
d1113, i182, p29, 
d1114, i175, p29, 
d1115, , p29, 
d1116, i374, p435 p29, 
d1118, i182, p1117 p29 p26, g318
d1119, , p29, 
d1120, i512, p183 p82, 
d1121, i182, p183 p29, 
d1122, i182, p183 p29, 
d1123, i182, p1117 p29, 
d1125, i182, p29, g1124
d1126, , p29, 
d1127, , p29, 
d1129, , p29, g47 g1128 g754
d1130, , p29 p106, 
d1131, , p183 p82, 
d1132, , p183, 
d1133, , , g22
d1134, , p183, 
d1137, i1135, p1136 p82, g79
d1139, , , g1138
d1141, i1140, p26, 
d1142, i1140, p1117, 
d1144, i1143, p435, 
d1147, , , g1145 g1146
d1148, , p435, g45
d1149, i510, p435, g45
d1150, i1140, p435, 
d1151, , p43 p26, g180
d1152, i1074, p2, g602 g22
d1155, i1153, , g1154
d1158, i1156, p1157, g845
