d4, i0 i1, p2 p2, g3
d13812, , p161, g5183 g432 g430 g13805 g2609
d13813, , p161, g5183 g432 g13805 g2609
d13814, , p161, g5183 g432 g13805 g2609
d13815, , p161, g5183 g432 g13805 g2609
d13816, , p161, g5183 g432 g13805 g2609
d13817, , p161, g5183 g432 g13805 g2609
d13818, , p161, g5183 g6237 g432 g13805 g2609
d13819, , p161, g5183 g432 g13805 g2609
d13820, i11959, p161, g5183 g60 g432 g13805 g2609
d13822, i13821, p161, g5183 g60 g432 g13805 g2609
d13823, , p161, g5183 g432 g429 g13805 g2609
d13824, , p161, g5183 g432 g24 g13805 g2609
d13825, , p161, g5183 g432 g13805 g2609
d13826, i439, p161, g584
d13827, i11959, p161, g430
d13828, , p161, 
d13829, , p161, 
d13830, , p161, 
d13831, , p161, 
d13832, , p161, 
d13833, , p161, 
d13834, , p161, g22
d13835, , p161, g428 g429 g498
d13836, , p161, g492 g500
d13837, , p161, g431
d13838, , p161, 
d13839, , p161, g22
d13840, , p161, 
d13842, , , g298 g14 g180 g807 g13841 g79 g178
d13843, , , g807 g14 g178 g180
d13844, , , g551 g14 g599 g180 g807 g178
d13845, , , g14 g180 g38
d13846, , , g402 g14 g404 g180 g659 g178
d13847, , , g14 g22 g178 g180 g2053
d13848, , , g14 g178 g402 g659 g180
d13849, , , g14 g178 g180
d13850, , , g14 g178 g180
d13851, , , g14 g178 g180
d13852, , , g14 g180
d13853, , , g402 g1295 g659 g178 g180 g173 g14
d13854, , , g14 g180
d13855, , , g14 g312 g180 g430
d13856, , , g770 g14 g178 g180
d13857, , , g75 g763
d13858, , , g75 g763
d13859, , , g75 g763
d13860, , p161 p583, 
d13861, , p161, g710 g430 g566
d13862, , p161, g20 g38
d13863, , , g20
d13864, i374, p435, 
d13865, , , g20
d13866, , , g542
d13867, , , g428 g10192 g95 g429 g430 g432 g22 g775 g312 g1607 g501
d13868, , p240, 
d13869, , p583, 
d13870, , , g1916 g429
d13871, , p26, g24 g180
d13872, , , g22
d13873, , , g20 g38
d13874, i475, , g20 g38
d13875, i303, , g1955 g54 g38
d13876, i7811, p1666, 
d13877, i7811, p1666, 
d13878, i7811, p1666, 
d13879, i7811, p1666, 
d13880, i7811, p1666, 
d13881, , , g440
d13882, , , g1332 g498 g797 g2886 g707 g432 g1279 g1138 g2708 g430 g404 g519 g444 g132 g312 g2762
d13883, , , g586 g95 g429 g774 g2767 g432 g22 g775 g430
d13884, , , g95 g430 g429 g431 g22 g775 g501 g566 g312 g1833
d13885, , p161, g13805 g432 g430 g429 g566
d13886, , p161, g95 g566
d13887, , p161, g413 g95 g498 g1170 g806 g486 g432 g1265 g566 g10192 g13805 g60
d13888, , p161, g95 g429 g430 g432 g22 g566 g775
d13890, , , g6605 g13889
d13891, , p26 p8, g1024 g1335
d13892, i65 i66, p17, g68 g584 g34
d13893, i1200, , 
d13894, , , g38
d13895, i4301, p87, 
d13898, i13896 i13897, p894, 
d13899, i1309, , g22
d13900, , , g2780 g470 g2779
d13901, , , g470 g54 g158
d13902, , , g470 g54
d13903, , , g470 g158
d13904, , , g312 g430
d13905, , , g20
d13906, , p161, 
d13907, i1253, , g1225
d13908, , p106, g284
d13909, i5555, , 
d13910, , p2715 p26 p198, g2626 g1291 g1104 g557 g22
d13911, , , g22
d13912, , p198, 
d13913, i288, p5347 p82, 
d13914, i537, p26 p583, 
d13915, i288, p106 p82, 
d13916, i103, p104, 
d13917, , , g38
d13918, i288 i288, p82, 
d13919, i4172, , g1265 g9362
d13920, , , g121 g1031
d13921, , , g1906 g132
d13922, i0 i897, p2, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13923, i0 i897, p2, 
d13924, i0 i897, p2, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13925, i0 i897, p2, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13926, i1781, p1782, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13927, i1781, p1782, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13928, i1781, p1782, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13929, i1781, p1782, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13930, i1781, p1782, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13931, i1781, p1782, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13932, i5295, p316, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13933, i5295, p316, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13934, i5295, p316, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13935, i9787, p2715 p26, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13936, i9787, p2715 p26, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13937, i9787, p2715 p26, g1757 g5199 g1773 g1276 g195 g1076 g1767
d13938, , , g1108
d13939, i0 i897, p26 p2, g602 g5199 g707 g445 g1276 g945 g195 g1076
d13940, , , g22
d13941, , , g22
d13942, , , g22
d13943, , , g22
d13944, , , g22
d13945, , , g22
d13946, , , g22
d13947, , , g451
d13948, , , g451
d13949, , , g90 g20
d13950, , , g90 g20
d13951, , , g90 g20
d13952, , , g90 g20
d13953, , , g90 g20
d13954, , , g90 g20
d13955, , , g90 g20
d13956, , , g90 g20
d13957, , , g90 g20
d13958, , , g90 g20
d13959, , , g551
d13960, , , g551
d13961, , , g431
d13962, , , g431
d13963, , , g413
d13964, , , g413
d13965, , , g7285
d13966, , , g551
d13967, , , g90 g20
d13968, , , g90 g20
d13969, , , g90 g20
d13970, , , g90 g20
d13971, , , g90 g20
d13972, , , g90 g20
d13973, , , g90 g20
d13974, , , g90 g20
d13975, , , g90 g20
d13976, , , g90 g20
d13977, , , g90 g20
d13978, , , g90 g20
d13979, , , g90 g20
d13980, , , g90 g20
d13981, , , g90 g20
d13982, , , g90 g20
d13983, , , g90 g20
d13984, , , g551
d13985, , , g90 g20
d13986, , , g90 g20
d13987, , , g90 g20
d13988, , , g90 g20
d13989, , , g90 g20
d13990, , , g90 g20
d13991, , , g90 g20
d13992, , , g551
d13993, , , g90 g20
d13994, , , g90 g20
d13995, , , g90 g20
d13996, , , g90 g20
d13997, , , g90 g20
d13998, , , g90 g20
d13999, , , g90 g20
d14000, , , g90 g20
d14001, , , g90 g20
d14002, , , g90 g20
d14003, , , g90 g20
d14004, , , g90 g20
d14005, , , g90 g20
d14006, , , g90 g20
d14007, , , g90 g20
d14008, , , g90 g20
d14009, , , g90 g20
d14010, , , g90 g20
d14011, , , g90 g20
d14012, , , g22
d14013, , , g90 g20
d14014, , , g90 g20
d14015, , , g90 g20
d14016, , , g90 g20
d14017, , , g90 g20
d14018, , , g90 g20
d14019, , , g551
d14020, , , g90 g20
d14021, , , g90 g20
d14022, , , g90 g20
d14023, , , g90 g20
d14024, , , g90 g20
d14025, , , g90 g20
d14026, , , g90 g20
d14027, , , g90 g20
d14028, , , g551
d14029, , , g7285 g20 g774 g451
d14030, , , g90 g20
d14031, , , g90 g20
d14032, , , g90 g20
d14033, , , g90 g20
d14034, , , g90 g20
d14035, , , g90 g20
d14036, , , g90 g20
d14037, , , g90 g20
d14038, , , g90 g20
d14039, , , g90 g20
d14040, , , g90 g20
d14041, , , g90 g20
d14042, , , g551
d14043, , , g551
d14044, , , g90 g20
d14045, , , g90 g20
d14046, , , g90 g20
d14047, , , g90 g20
d14048, , , g90 g20
d14049, , , g90 g20
d14050, , , g90 g20
d14051, , , g90 g20
d14052, , , g90 g20
d14053, , , g90 g20
d14054, , , g90 g20
d14055, , , g90 g20
d14056, , , g90 g20
d14057, , , g90 g20
d14058, , , g90 g20
d14059, , , g90 g20
d14060, , , g5725
d14061, , , g5725
d14062, , , g5725
d14063, , , g5725
d14064, , , g90 g20
d14065, , , g7396
d14066, , p77, 
d14067, i259, , g38
d14068, i426, p427, g453 g765 g1229 g1833 g515
d14069, , , g22
d14070, , , g3683
d14071, i19, p8, 
d14072, i2598, p1200, 
d14073, , , g121
d14074, , , g440
d14075, , , g2522
d14076, , p82, g538 g4753
d14077, i5593, p82, 
d14078, , p77, 
d14079, , p5591, 
d14080, , p77 p82, 
d14081, , p77, 
d14082, , p183 p106, 
d14083, i182, p29, 
d14084, , p87, 
d14085, , , g491
d14086, , p2 p77, g2611 g22 g515
d14087, , p77, 
d14088, i1485, p183, 
d14089, , p87, 
d14090, , p77, g284
d14091, i278, p8, 
d14092, , p26 p183, g1991 g9 g3 g729 g91 g552 g2154 g451
d14093, i288, p82, 
d14094, i175, p77, g34
d14095, , p26, g22 g12245
d14096, , p894 p5591, 
d14097, i2690, p77 p106 p82, g413
d14098, i182, , 
d14099, , p87, 
d14101, i14100, p240, g1321 g22
d14102, , p82, 
d14103, , p5591 p106, 
d14104, i182, p5591, 
d14105, i175, , 
d14106, , p87, g432
d14107, , p87 p82, g430
d14108, , p43, 
d14109, i182, p29, 
d14110, i182, p29, 
d14111, i288, p82, g432
d14112, i288, p29 p77 p82, 
d14113, , p77, g34 g402 g491
d14114, i512, p161 p5591 p106, g729 g68 g913
d14115, , p77 p5591 p82, 
d14116, , , g659 g402
d14117, i259, , 
d14118, , p77 p1742, 
d14119, , , g131 g451 g38
d14120, , p77, g22 g38
d14121, i540, p8, 
d14122, , p87, g3834
d14123, i259, p26 p8, g54
d14124, i57, , 
d14125, i175, , 
d14126, i175, , 
d14127, i175, , 
d14128, i175, , 
d14129, i175, , g1930 g1935 g2289 g2288
d14130, , p3233, 
d14131, i406, p2769 p3256 p1642 p82, g1314
d14132, i2710, p240, g9362
d14133, i1200, p1200, 
d14134, i1040, p31, g1041 g759 g1042
d14135, , p77, 
d14136, i175, p26, g79
d14137, i1140, p87, g178 g22
d14138, i1050, , 
d14139, i1050, p321 p26 p322 p323 p87, g22
d14140, , , g22
d14141, i1140, , 
d14142, , p77, 
d14143, , p367, 
d14145, i1140 i14144, p82, 
d14146, i1140, p356 p2, 
d14148, i1202, p14147, g1173 g2875 g1265 g5845
d14149, i510, p7512, g178
d14150, i1050, p356, 
d14151, i1050, , 
d14153, i1140, p26 p14152, 
d14154, , p161, 
d14155, , , g22
d14156, , , g1204 g9027
d14157, , , g1204
d14158, , , g1204
d14159, , p356, g312 g432 g24 g430 g298
d14160, , p356, g52 g312
d14161, , p356, g312
d14162, , p356, g312
d14163, i619, , 
d14164, i619, , 
d14165, i278, p8, g20 g22
d14166, i7, , 
d14167, i175, , 
d14168, i6518, , 
d14169, , , g36 g2033 g573 g2506 g45 g574
d14170, i372, p240, 
d14171, i6665, , 
d14172, i372, p87 p1029, g22 g20
d14173, i6665, p104, 
d14174, i6665, , g79
d14175, i6665, , 
d14176, , , g432
d14178, , , g1024 g451 g573 g563 g10084 g20 g807 g441 g380 g91 g1850 g3 g14177
d14180, , , g2008 g1255 g413 g20 g14179
d14181, , p161, 
d14182, , , g431 g453 g22 g1250
d14183, , p77, g718 g61 g658
d14184, , p77, g1916 g659 g402
d14185, i1537, p77, g428 g95 g430 g710 g4357 g4358 g1607
d14186, , , g38
d14187, , p240, 
d14188, , p240, 
d14189, , , g22 g45
d14190, , , g429 g566
d14191, , , g2182 g1279 g429
d14192, i646, p8, g36 g54
d14193, , , g431 g566 g1128 g4068 g7766 g47 g132 g501
d14194, , , g1187
d14197, i4113, , g20 g14195 g14196
d14198, , p106, g328
d14199, , p1236, g432 g765 g312 g4526
d14200, , p17, 
d14201, , , g1991
d14202, , , g723
d14203, , , g34
d14204, , , g7496
d14205, , , g9897 g723
d14206, , p7512, 
d14207, , p87, 
d14208, , p43, 
d14209, , p82, g143 g402 g22 g659
d14210, i6, p29 p82, g20
d14211, , , g400 g100
d14212, , p77, 
d14213, , p77, 
d14214, , p77, g1287
d14215, i3921, , 
d14216, , , g4072 g5170
d14217, i2690, p82, g180
d14218, i228, , 
d14219, i228, , 
d14220, i228, , 
d14221, , p77, 
d14222, i288 i288, p26 p82, 
d14223, , p161, 
d14224, i1098, p17, g118
d14225, i228, , 
d14226, , p3771 p240 p82, g3186 g556
d14228, i14227, p31, 
d14229, , p29, g34
d14230, , , g5771 g4527
d14231, , p356, 
d14232, , p77, g413 g1109
d14236, i14233 i14234, p14235, 
d14237, i14233 i14234, p14235, 
d14239, i14233 i14234, p14238, 
d14240, i14233 i14234, p14238, 
d14242, i14233 i14234, p14241, 
d14243, i14233 i14234, p14241, 
d14244, i4078, p427, g432
d14245, , , g22
d14246, , , g312 g430
d14247, i1861 i1771, , g318
d14248, , p82, g34 g1031
d14249, , , g2746 g36 g599 g37 g1850
d14250, , , g52 g1378
d14251, i3710, p161, g1378
d14252, i461, , 
d14254, i14253, , 
d14255, , p106, 
d14256, i157, p2051, 
d14257, i12100, , 
d14258, i6434, , g45
d14259, i6434, , g45
d14260, , p294, 
d14261, i175, p8, 
d14262, i175, p8, 
d14263, i175, p8, 
d14264, i175, p8, 
d14265, i646, p8, 
d14266, i259, , g402 g47 g659 g8031 g1999 g173 g2609 g2154 g451
d14267, , p8, 
d14268, , p26 p8, 
d14269, , p435, g1991 g1243 g22
d14270, , p435, g20
d14271, , p435, g1243 g552 g1991 g22 g451
d14272, , p435, 
d14273, , p435, g22 g1243 g1991
d14274, , p435, 
d14275, , p435, 
d14277, i157, p8, g14276 g3031 g1722 g36 g573 g22 g3915 g20 g1024 g37 g2052 g1852 g3035 g1723 g1345
d14278, , , g573 g36 g574
d14279, , , g1204
d14280, , p77, 
d14281, , , g451 g552
d14282, i157, , g451
d14283, i157, , g451
d14284, i572, p8, g451 g542 g552
d14285, , , g2053 g36 g131 g1850 g563 g2522 g158 g253 g451
d14286, i7385, , g12857
d14287, , p8, g1243 g20 g22 g1991
d14288, , p89, g91
d14289, i157, p26 p8, g158 g834 g20 g3 g379 g2154
d14290, , , g20
d14291, i572, p8, g2155 g659 g402 g5158
d14292, i510, p231, 
d14293, , p8, 
d14294, i510, p8, 
d14295, , p2888, g10155 g759 g1204 g5338 g9027
d14296, i510, p8, 
d14297, , p8, 
d14298, i540, , 
d14299, , , g52 g616
d14300, i1140, p8, 
d14301, , p8, 
d14302, i734, , g45
d14303, , p183 p2849, g173
d14304, , p8, 
d14305, , , g451
d14306, , p8, g2154 g1613 g943
d14307, , p26, g91
d14308, , p8, 
d14309, , p77, g451
d14310, , , g91 g1918
d14311, i157, p26 p701, g1918
d14312, , p435, g1243 g1991 g451 g22
d14318, , p26, g14313 g14314 g14315 g1918 g14316 g14317 g5010 g91 g11
d14319, , p356, 
d14320, , p8, g158 g1918
d14321, , p8, 
d14322, i475, p77, g20
d14323, , , g20
d14324, , , g20
d14325, , , g20
d14326, i7094, p8, g20
d14327, i406, p8, g20
d14328, i157, p8, g20
d14329, i4011, p8, 
d14330, , , g12244
d14331, , p77, 
d14332, i372, p161, g451
d14333, , , g807 g599 g451 g10
d14334, i1101, p294, 
d14335, , , g729 g451
d14336, i5555 i228, , 
d14337, i6158, , 
d14338, , , g5170
d14339, , , g36 g38 g2512 g37 g61 g451 g14195
d14340, , , g542 g38
d14341, i579, p2, 
d14342, , p608, g445 g3 g443
d14343, , p3678, 
d14344, , p8, g3 g20 g2627 g1999 g1732 g1042 g1613
d14345, i650, p26 p2617, 
d14346, , , g22 g20
d14347, i7139, p77, 
d14348, i406, , 
d14349, , p8, g599 g22 g552
d14350, , p26, 
d14351, , , g451 g552
d14352, i81, , 
d14353, , , g5010 g91
d14354, , p87, g284
d14355, i157, p8, 
d14356, i157, , 
d14357, i157, p8, 
d14359, , p14358, 
d14360, , p14358, 
d14361, , p14358, 
d14362, , p3678, 
d14363, , , g22
d14364, i16, , 
d14365, i374, , 
d14366, i1071, , 
d14367, , , g121 g1031
d14368, , , g284 g2788
d14369, , , g284 g2788
d14370, i114, , 
d14371, , p106, 
d14372, , p29, 
d14373, , p161, 
d14374, i1781, p1782, g100 g318 g901
d14375, , , g1031
d14376, , , g1031
d14377, , , g2588 g180
d14378, i572, p367, g538 g403 g4524 g79
d14379, , p77, g180
d14380, , p26, g379
d14381, i572, p161, 
d14382, i288, p26 p2017 p31 p2888 p2068 p3346 p82, g602 g6207 g605 g1265 g45 g538 g379 g1378
d14384, i14383, p294, g36 g759
d14385, i14383, p294, g36 g759
d14386, , p2037 p279 p82, g75 g210 g79 g8696 g6206 g1378 g770
d14387, , , g22
d14388, i81, p161 p583, g1378 g79 g609 g603
d14389, , , g806 g2910 g95
d14390, i16, p17, 
d14391, , , g45 g413 g1109
d14392, i406, , 
d14393, i182, p8, g3834
d14394, , , g2154 g14195
d14395, , p29, g488 g1880 g332
d14396, i16, p17, 
d14397, i16, p17, 
d14398, , , g91 g14195
d14399, , , g5076 g1999 g6094 g91 g2609
d14400, , , g1031
d14401, , , g22
d14402, , p3233, 
d14403, i14253, , 
d14404, , p161, 
d14405, , , g34 g1025 g24
d14406, , , g34 g1025 g24
d14407, , , g34 g1025 g24
d14408, , , g34 g1025 g24
d14409, , , g34 g1025 g24
d14410, , , g34 g1025 g24
d14411, , , g1999 g1823 g20 g158 g253
d14412, i4720, p8, 
d14413, i4720, p8, 
d14414, , p77, 
d14415, , p17, 
d14416, i16, p17, 
d14417, , p17, 
d14418, , p17, 
d14419, , p87, g1287 g413
d14420, , p8, 
d14421, , p82, 
d14422, , p77, 
d14423, i288, p43, 
d14424, , , g79
d14425, , p29, 
d14426, , p77, 
d14427, i182, p29, 
d14428, i182, p29 p82, 
d14429, , p77, g20
d14430, i182, , 
d14432, i14431, , g8523
d14433, , p2334, 
d14434, , p240, 
d14435, , p106, g108
d14436, , p106, g1503 g108
d14437, , , g1204 g54
d14438, , , g1204 g54
d14439, , , g1204 g54
d14440, , , g1204 g54
d14441, , , g2142 g1204 g54
d14442, , p894 p5591, 
d14443, i1198, , 
d14444, i4247, p26, 
d14445, , , g1634 g263
d14446, , p77 p82, g22
d14447, , p82, 
d14448, , , g75 g210
d14449, i7139, p26 p701, g5015 g52 g20 g199 g79 g90
d14450, i589, , g143 g79 g22
d14451, i157, p77, g2123
d14452, , p82, 
d14453, , p5098, 
d14454, , , g609
d14455, , , g573 g1852 g3035 g20 g3915
d14456, i6, , 
d14457, i6, , 
d14458, , p356, 
d14459, , , g22 g12923
d14460, i2690, , g2623 g1879
d14461, i8390 i4749, , 
d14462, i439, p356, 
d14463, , , g10155 g759 g1204 g5338 g9027
d14464, , p104, 
d14465, i14233, p43, g1320 g45
d14467, i14466, p356, 
d14468, , p77, g90 g79 g270
d14469, i288, p796, g1378
d14470, i288, p796, g1378
d14471, , , g22
d14473, i14472, p26 p356, 
d14474, , p77, g515
d14475, , p26 p77, g2081 g1792 g2619 g1613 g1026
d14476, , p77, 
d14477, i554, p77, g79
d14478, , p356, 
d14479, , p26 p356, g1025 g180 g10722
d14480, i1140, p8, 
d14481, , p104, 
d14482, , p104, 
d14483, , p26 p356, g806 g1564 g1265 g557 g5956 g1732
d14484, i2900, , 
d14485, , p87, 
d14486, i175, p161 p26, 
d14487, , p2844 p8, g485 g36
d14488, , p2844 p8, 
d14489, i5778, , 
d14490, , p161, 
d14492, i6665, p161, g14491 g659 g298 g402 g1819
d14493, , p8, 
d14494, , p8, 
d14495, , p8, g485 g36
d14496, , p8, g2903 g1332 g1334
d14497, , p230 p8, g6187 g3977 g1332 g1170
d14498, , p8, g1993
d14499, , p230 p8, g485 g36
d14500, , p8, 
d14501, , p435, g485 g36
d14502, , p8, g485 g36 g3032 g253
d14503, , p8, g485 g3010 g36
d14504, i84, , g485 g1993 g36 g1103
d14506, i40, , g13744 g834 g14505
d14507, i40, p8, 
d14508, , p8, g485 g1993 g36
d14509, , p77, 
d14510, , p104, 
d14511, , p161, 
d14512, , p77, 
d14513, , p104, 
d14514, i84, , g485 g36
d14515, i84, p435, g1320 g1170
d14516, , p2845 p8, g485 g36 g3916
d14517, i84, p435, g1320 g1983
d14518, , p104, g395
d14519, , p161, g1320 g1983 g1332
d14520, i1943, , g298 g24 g515
d14521, , , g1916 g1025
d14522, , p77, 
d14524, i14523, , g396
d14525, i175, p161, 
d14527, i14526, , 
d14529, , p77, g402 g498 g2910 g718 g659 g602 g14528 g13744 g1938
d14530, , p26 p2, 
d14531, , p26 p2, 
d14532, , p26 p2, 
d14533, , p26 p2, 
d14534, i13582, , 
d14535, , p104, 
d14536, , p87, g270 g1526
d14537, , , g1378 g79
d14538, i1349, p161, g5174 g4891 g22 g1354 g2081
d14539, i1349, p161, g5174 g4891 g22 g1354 g2081
d14540, , p161, 
d14541, , p104, 
d14542, i84, p435, g1332
d14543, i84, p435, g1320 g1334 g610
d14544, , p8, 
d14545, , p8, g485 g36
d14546, , p8, g485 g3010 g36
d14547, , p2844 p8, g485 g36 g756
d14548, i157, p8, g36 g1332 g3032 g2876 g253 g485
d14549, , p8, g485 g36 g3032 g253
d14550, , p8, g485 g36 g3032 g253
d14551, , p8, g485 g36 g3032 g253
d14552, , p8, g485 g36 g3032 g253
d14553, , p8, g485 g36 g3032 g253
d14554, , p8, g485 g36 g3032 g253
d14555, , p8, g485 g36 g3032 g253
d14556, , p8, g485 g36
d14557, , p8, g485 g36
d14558, , p8, g485 g36 g3032 g253
d14559, , p8, g485 g36 g3032 g253
d14560, , p2844 p8, g485 g36
d14561, , p8, g485 g1722 g36 g3032 g253
d14562, , p2844 p8, g36 g1170
d14563, , p8, g485 g3010 g36
d14564, , p8, g485 g36
d14565, , p8, g485 g3031 g36 g37
d14566, , p8, g485 g36
d14567, , p8, g485 g36
d14568, , p8, g485 g36
d14569, , p8, g485 g36 g3032 g253
d14570, , p8, g485 g36 g3032 g253
d14571, , p8, g485 g36 g3032 g253
d14572, , p8, g485 g36
d14573, , p8, g485 g36 g3032 g253
d14574, , p2844 p8, g485 g36
d14575, , p2844 p8, g485 g36
d14576, , p2844 p8, g485 g36
d14577, , p8, g36
d14578, , p8, g1320 g36
d14579, , p8, g1320 g36
d14580, , p8, g1320 g36
d14581, , p8, g1320 g36
d14582, , p8, g1320 g36
d14583, , p8, 
d14584, , p435 p230, 
d14585, , p8, g36 g2506
d14586, , p8, g485 g36
d14587, , p8, 
d14588, , p8, g485 g36 g253 g3032 g2876
d14589, , p8, g1332 g1334
d14590, i84, p8, g485 g1722 g36 g3032 g253
d14591, , p8, g1332 g1334
d14592, , p8, g1332 g1334
d14593, , p8, g3031 g36 g1993 g2876 g37 g158 g485
d14594, , p230 p8, 
d14595, , p230 p8, 
d14596, , p8, g36 g1993 g3032 g2876 g253 g485
d14597, , p230 p8, 
d14598, , p230 p8, 
d14599, , p230 p8, 
d14600, , p8, 
d14601, , p230 p8, g1332 g3010 g1334 g6187
d14602, , p8, 
d14603, , p230 p8, 
d14604, , p230 p8, 
d14605, , p8, 
d14606, , p230 p8, 
d14607, , p230 p8, 
d14608, i84, p8, 
d14609, , p230 p8, 
d14610, , p230 p8, g1170 g6187 g3010 g709 g11387 g1321 g2903 g1334 g610
d14611, , p230 p8, g485 g36 g253 g3032 g2876
d14612, , p230 p8, g485 g36
d14613, , p230 p8, 
d14614, , p230 p8, 
d14615, , p230 p8, 
d14616, , p230 p8, 
d14617, , p230 p8, 
d14618, , p230 p8, 
d14619, , p230 p8, 
d14620, , p230 p8, 
d14621, , p230 p8, 
d14624, , p230 p8, g7332 g6187 g1564 g14622 g14623 g11387 g3010 g1334 g3999 g610 g14528
d14625, , p230 p8, g485 g36
d14626, , p8, g36
d14627, , p230 p8, 
d14628, , p230 p8, 
d14629, , p8, 
d14630, , p230 p8, 
d14631, , p161, 
d14632, i646, , g90 g14 g563 g22
d14633, , p77, g52 g270 g616
d14634, i175, p161, g60 g770 g774
d14635, , p104, 
d14636, i13584, p8, 
d14637, i13584, p8, 
d14639, i14638, p8, 
d14640, , p77, g52 g270 g616
d14641, , p26, 
d14642, i3648, p161 p26, 
d14643, i1368, p356, g11384 g1321 g610
d14644, , p104, 
d14645, , p161 p29 p2, g1999 g332
d14646, , p104, 
d14648, i537, p26 p82, g400 g52 g403 g180 g538 g14647
d14649, , p104, g395
d14650, i3648, , g24
d14651, i175, p161, 
d14652, , p104, 
d14653, , p104, g1170
d14654, , p87 p26, 
d14655, , p161, 
d14656, , p161, 
d14658, i14657, , g402 g24 g210 g298 g52 g22 g616 g20 g79 g375
d14659, i6971, p26, g615
d14660, , p161, 
d14661, , p104, g395
d14662, i6038, p161 p1742, 
d14663, i175, , 
d14664, i475, , g52 g20
d14665, i1323, p356, g610
d14666, i3203, p356, g45 g6188 g610
d14667, i3203, p356, g45 g6188 g610
d14668, i3203, p356, g45 g6188 g610
d14669, , p356, g52
d14670, i14100, p26 p356, 
d14671, , p104, g52
d14672, i1323, p356, 
d14673, , p161, g402 g298 g718 g659 g7641 g22 g78 g1819 g52 g375
d14674, i103, , g79
d14676, i537, , g2972 g14675 g5015 g2886 g1564 g1138 g2708 g54
d14677, i7811, , 
d14678, i259, p161, g100 g774 g765 g45 g60 g770 g312
d14679, i572, p26, g22 g429
d14680, , p367, 
d14681, i461, p2037, 
d14682, i1581, p1579, 
d14683, i1771, p7686, g52 g1076 g318 g210 g616
d14684, i0 i1771 i897 i1263 i1861, , g1076
d14685, i1098, p2017 p106, 
d14687, i14686, , g2081
d14688, i11369 i461, p1579 p2037, g1378
d14690, i461, p14689, g1378
d14691, i1263 i1861 i1771, p7686, g1076
d14692, i1581, p1579 p26, g538
d14693, i461, , g538
d14694, i1581, p26, g538
d14695, i1, , 
d14696, i1771, p6007, g100 g24 g210 g75
d14697, i1861, , g100 g24 g210 g75
d14698, i1 i1771, p7686, g52 g24 g1076
d14699, i1771, p230 p7686, g52 g24 g1076
d14700, i461, p26 p2037, g378 g2081 g379 g1487 g538 g8298 g79 g2625 g199 g470 g1104 g52 g3186
d14701, i288, p77 p82, 
d14702, i182, p161 p2101, g90 g20
d14703, i4755, , 
d14704, , , g1990 g1989
d14705, , p104, 
d14706, i537, p26, g52
d14707, , p26, 
d14708, , , g504 g432 g4357
d14709, , , g95 g430 g429 g431 g566 g312 g1607 g501
d14710, , , g20
d14711, , , g131
d14712, , , g2506 g253 g451 g552
d14713, , p8, 
d14714, i288, p5347 p82, 
d14715, i9182, p31, g834
d14716, i9182, p31, g834
d14717, i9182, p31, g834
d14718, i65, , g1024 g3 g91
d14719, , p3678, 
d14720, , , g36 g2676 g3997 g1376 g1850 g2052
d14721, i572, p26 p8, g24 g210 g298 g52 g616 g79 g270 g75 g901
d14722, , p161, g527 g521
d14723, , p26, g210 g574 g52 g6207 g1376 g573 g199 g1378
d14724, i382, p240, g451
d14725, i4911 i5990 i897, p26 p183, g210
d14726, , p77, g5758 g14 g20 g1634 g2183 g90
d14727, , p2101 p112, 
d14728, i2906, p31 p1742, g20 g1204 g3 g1042
d14729, i2906, p31 p1742, g20 g1204 g3 g1042
d14730, i2906, p31, g3 g1042 g1204 g3186 g20
d14731, i2906, p31, g52 g20 g3 g1204 g199 g1042
d14732, i2906, p2715 p31 p70, g2154 g3 g20
d14733, , p77, g602
d14734, , , g428 g95 g432 g710 g14316 g1128 g4068
d14735, , , g1636
d14736, i4720, , g195 g3
d14737, , p161, 
d14738, i3343, p1532, 
d14739, i8459, p5319, 
d14740, i12582, p5319, 
d14741, i3343, p1532, 
d14742, i12582, p5319, 
d14743, i8459, p5319, 
d14744, i1596, p1597, g1042
d14746, i14745, p1597, g1042
d14747, i1596, p1597, g1042
d14750, i14748 i14749, p26 p356, 
d14751, i14748 i14749, p26 p356, 
d14752, i1156 i14748, p26 p356, 
d14753, i14748, p26 p356, 
d14754, i9182, p31, 
d14755, i9182, p31, 
d14757, i9182, p14756, 
d14758, i9182, p14756, 
d14759, i9182, p14756, 
d14760, i9182, p14756, 
d14761, i9182, p14756, 
d14762, i9182, p14756, 
d14763, i9182, p14756, 
d14764, i9182, p14756, 
d14765, i9182, p14756, 
d14766, i9182, p14756, 
d14767, i9182, p14756, 
